Nº | TIPO | RESULTADO | PnL | BALANCE ACUM.
259 | DOWN | 🛡️ TRAIL | $  0.40 | $   51.60
260 | DOWN | 🛡️ B-EVEN | $  0.00 | $   51.60
261 | DOWN | 🛡️ TRAIL | $  1.00 | $   52.60
262 | DOWN | 🛡️ TRAIL | $  0.10 | $   52.70
263 | DOWN | ❌ LOSS   | $ -1.50 | $   51.20
264 | UP   | 🛡️ TRAIL | $  1.80 | $   53.00
265 | UP   | ❌ LOSS   | $ -1.50 | $   51.50
266 | DOWN | ❌ LOSS   | $ -1.50 | $   50.00
267 | UP   | 🛡️ TRAIL | $  1.70 | $   51.70
268 | UP   | 🛡️ TRAIL | $  0.40 | $   52.10
269 | DOWN | 🛡️ TRAIL | $  0.30 | $   52.40
270 | DOWN | ❌ LOSS   | $ -1.50 | $   50.90
271 | DOWN | 🛡️ B-EVEN | $  0.00 | $   50.90
272 | UP   | 🛡️ TRAIL | $  1.60 | $   52.50
273 | UP   | 🛡️ TRAIL | $  0.70 | $   53.20
274 | UP   | 🛡️ TRAIL | $  0.50 | $   53.70
275 | UP   | 🛡️ TRAIL | $  0.60 | $   54.30
276 | DOWN | 🛡️ TRAIL | $  0.10 | $   54.40
277 | UP   | 🛡️ TRAIL | $  1.10 | $   55.50
278 | UP   | 🛡️ TRAIL | $  0.70 | $   56.20
279 | UP   | ❌ LOSS   | $ -1.50 | $   54.70
280 | UP   | ❌ LOSS   | $ -1.50 | $   53.20
281 | DOWN | 🛡️ TRAIL | $  1.80 | $   55.00
282 | DOWN | 🛡️ TRAIL | $  1.00 | $   56.00
283 | DOWN | 🛡️ TRAIL | $  2.20 | $   58.20
284 | DOWN | 🛡️ TRAIL | $  2.20 | $   60.40
285 | DOWN | ❌ LOSS   | $ -1.50 | $   58.90
286 | UP   | ❌ LOSS   | $ -1.50 | $   57.40
287 | DOWN | 🛡️ TRAIL | $  0.20 | $   57.60
288 | UP   | ❌ LOSS   | $ -1.50 | $   56.10
289 | DOWN | 🛡️ TRAIL | $  1.50 | $   57.60
290 | DOWN | 🛡️ B-EVEN | $  0.00 | $   57.60
291 | UP   | 🛡️ TRAIL | $  0.20 | $   57.80
292 | UP   | 🛡️ TRAIL | $  0.30 | $   58.10
293 | DOWN | 🛡️ TRAIL | $  0.20 | $   58.30
294 | UP   | ❌ LOSS   | $ -1.50 | $   56.80
295 | DOWN | 🛡️ TRAIL | $  0.20 | $   57.00
296 | DOWN | 🛡️ TRAIL | $  0.60 | $   57.60
297 | DOWN | ✅ TARGET | $  3.00 | $   60.60
298 | DOWN | 🛡️ TRAIL | $  0.30 | $   60.90
299 | DOWN | 🛡️ B-EVEN | $  0.00 | $   60.90
300 | DOWN | 🛡️ TRAIL | $  0.30 | $   61.20
301 | DOWN | 🛡️ TRAIL | $  0.80 | $   62.00
302 | DOWN | ❌ LOSS   | $ -1.50 | $   60.50
303 | UP   | 🛡️ TRAIL | $  0.40 | $   60.90
304 | DOWN | 🛡️ TRAIL | $  0.80 | $   61.70
305 | DOWN | ❌ LOSS   | $ -1.50 | $   60.20
306 | UP   | 🛡️ TRAIL | $  0.50 | $   60.70
307 | UP   | ❌ LOSS   | $ -1.50 | $   59.20
308 | DOWN | 🛡️ TRAIL | $  1.00 | $   60.20
309 | UP   | 🛡️ TRAIL | $  0.10 | $   60.30
310 | UP   | 🛡️ TRAIL | $  1.20 | $   61.50
311 | UP   | ❌ LOSS   | $ -1.50 | $   60.00
312 | UP   | 🛡️ TRAIL | $  1.10 | $   61.10
313 | DOWN | ❌ LOSS   | $ -1.50 | $   59.60
314 | UP   | 🛡️ TRAIL | $  0.50 | $   60.10
315 | DOWN | 🛡️ B-EVEN | $  0.00 | $   60.10
316 | UP   | ❌ LOSS   | $ -1.50 | $   58.60
317 | DOWN | 🛡️ TRAIL | $  0.10 | $   58.70
318 | DOWN | 🛡️ TRAIL | $  0.30 | $   59.00
319 | DOWN | 🛡️ TRAIL | $  0.10 | $   59.10
320 | UP   | 🛡️ TRAIL | $  0.80 | $   59.90
321 | UP   | 🛡️ TRAIL | $  0.30 | $   60.20
322 | UP   | 🛡️ TRAIL | $  0.20 | $   60.40
323 | UP   | 🛡️ TRAIL | $  2.00 | $   62.40
324 | UP   | 🛡️ TRAIL | $  0.40 | $   62.80
325 | DOWN | 🛡️ TRAIL | $  0.10 | $   62.90
326 | DOWN | ❌ LOSS   | $ -1.50 | $   61.40
327 | UP   | 🛡️ TRAIL | $  0.60 | $   62.00
328 | UP   | 🛡️ TRAIL | $  0.10 | $   62.10
329 | DOWN | ❌ LOSS   | $ -1.50 | $   60.60
330 | UP   | 🛡️ TRAIL | $  1.00 | $   61.60
331 | UP   | 🛡️ B-EVEN | $  0.00 | $   61.60
332 | UP   | 🛡️ B-EVEN | $  0.00 | $   61.60
333 | UP   | 🛡️ TRAIL | $  2.10 | $   63.70
334 | UP   | 🛡️ TRAIL | $  0.20 | $   63.90
335 | UP   | 🛡️ TRAIL | $  1.20 | $   65.10
336 | UP   | ❌ LOSS   | $ -1.50 | $   63.60
337 | DOWN | ❌ LOSS   | $ -1.50 | $   62.10
338 | DOWN | ✅ TARGET | $  3.00 | $   65.10
339 | DOWN | 🛡️ TRAIL | $  2.10 | $   67.20
340 | DOWN | ✅ TARGET | $  3.00 | $   70.20
341 | DOWN | ❌ LOSS   | $ -1.50 | $   68.70
342 | DOWN | ✅ TARGET | $  3.00 | $   71.70
343 | DOWN | ❌ LOSS   | $ -1.50 | $   70.20
344 | UP   | 🛡️ TRAIL | $  0.30 | $   70.50
345 | DOWN | 🛡️ TRAIL | $  0.40 | $   70.90
346 | DOWN | 🛡️ TRAIL | $  0.80 | $   71.70
347 | DOWN | 🛡️ TRAIL | $  0.90 | $   72.60
348 | DOWN | ❌ LOSS   | $ -1.50 | $   71.10
349 | UP   | 🛡️ TRAIL | $  0.80 | $   71.90
350 | UP   | 🛡️ TRAIL | $  1.30 | $   73.20
351 | UP   | 🛡️ TRAIL | $  0.80 | $   74.00
352 | DOWN | 🛡️ TRAIL | $  0.80 | $   74.80
353 | UP   | 🛡️ TRAIL | $  0.80 | $   75.60
354 | DOWN | 🛡️ TRAIL | $  0.90 | $   76.50
355 | UP   | 🛡️ TRAIL | $  0.50 | $   77.00
356 | UP   | 🛡️ TRAIL | $  0.10 | $   77.10
357 | UP   | ❌ LOSS   | $ -1.50 | $   75.60
358 | DOWN | ❌ LOSS   | $ -1.50 | $   74.10
359 | DOWN | 🛡️ TRAIL | $  0.60 | $   74.70
360 | DOWN | 🛡️ TRAIL | $  1.40 | $   76.10
361 | DOWN | ❌ LOSS   | $ -1.50 | $   74.60
362 | DOWN | 🛡️ TRAIL | $  0.20 | $   74.80
363 | UP   | 🛡️ TRAIL | $  0.10 | $   74.90
364 | DOWN | 🛡️ TRAIL | $  0.70 | $   75.60
365 | UP   | 🛡️ B-EVEN | $  0.00 | $   75.60
366 | DOWN | 🛡️ TRAIL | $  0.40 | $   76.00
367 | UP   | 🛡️ TRAIL | $  0.60 | $   76.60
368 | UP   | 🛡️ TRAIL | $  1.50 | $   78.10
369 | UP   | ❌ LOSS   | $ -1.50 | $   76.60
370 | DOWN | ❌ LOSS   | $ -1.50 | $   75.10
371 | UP   | 🛡️ B-EVEN | $  0.00 | $   75.10
372 | DOWN | 🛡️ TRAIL | $  0.30 | $   75.40
373 | DOWN | 🛡️ TRAIL | $  0.20 | $   75.60
374 | UP   | ❌ LOSS   | $ -1.50 | $   74.10
375 | DOWN | 🛡️ TRAIL | $  0.60 | $   74.70
376 | DOWN | ❌ LOSS   | $ -1.50 | $   73.20
377 | DOWN | 🛡️ TRAIL | $  0.10 | $   73.30
378 | DOWN | 🛡️ TRAIL | $  0.10 | $   73.40
379 | DOWN | 🛡️ TRAIL | $  0.60 | $   74.00
380 | DOWN | 🛡️ TRAIL | $  0.40 | $   74.40
381 | DOWN | 🛡️ TRAIL | $  1.30 | $   75.70
382 | DOWN | ✅ TARGET | $  3.00 | $   78.70
383 | DOWN | 🛡️ TRAIL | $  0.20 | $   78.90
384 | DOWN | 🛡️ TRAIL | $  0.30 | $   79.20
385 | UP   | 🛡️ TRAIL | $  0.10 | $   79.30
386 | UP   | 🛡️ TRAIL | $  2.40 | $   81.70
387 | UP   | 🛡️ TRAIL | $  0.20 | $   81.90
388 | UP   | 🛡️ B-EVEN | $  0.00 | $   81.90
389 | UP   | 🛡️ TRAIL | $  0.50 | $   82.40
390 | UP   | 🛡️ TRAIL | $  1.10 | $   83.50
391 | UP   | 🛡️ TRAIL | $  2.10 | $   85.60
392 | UP   | ❌ LOSS   | $ -1.50 | $   84.10
393 | DOWN | 🛡️ TRAIL | $  1.00 | $   85.10
394 | DOWN | ❌ LOSS   | $ -1.50 | $   83.60
395 | DOWN | 🛡️ TRAIL | $  1.40 | $   85.00
396 | DOWN | 🛡️ TRAIL | $  0.20 | $   85.20
397 | DOWN | ❌ LOSS   | $ -1.50 | $   83.70
398 | UP   | 🛡️ B-EVEN | $  0.00 | $   83.70
399 | UP   | 🛡️ TRAIL | $  1.10 | $   84.80
400 | UP   | 🛡️ TRAIL | $  2.00 | $   86.80
401 | UP   | 🛡️ TRAIL | $  0.30 | $   87.10
402 | UP   | 🛡️ B-EVEN | $  0.00 | $   87.10
403 | UP   | 🛡️ TRAIL | $  1.80 | $   88.90
404 | UP   | 🛡️ TRAIL | $  0.40 | $   89.30
405 | UP   | 🛡️ TRAIL | $  0.40 | $   89.70
406 | UP   | 🛡️ TRAIL | $  0.60 | $   90.30
407 | UP   | ✅ TARGET | $  3.00 | $   93.30
408 | UP   | 🛡️ B-EVEN | $  0.00 | $   93.30
409 | UP   | 🛡️ TRAIL | $  2.40 | $   95.70
410 | DOWN | 🛡️ TRAIL | $  1.60 | $   97.30
411 | DOWN | ❌ LOSS   | $ -1.50 | $   95.80
